"","start","end","length_time","correlation","rsquared","p_value","Sing_level"
"21005600","2002-05-01","2005-09-01","23","0.283","0.0801","0.190633"," "
"","","","","","","",""
"46002400","1998-06-01","2001-08-01","21","0.5392","0.2907","0.011655","*"
"46002400","2001-10-01","2008-09-01","42","0.284","0.0806","0.068359","."
"","","","","","","",""
"29031300","1998-05-01","2011-09-01","83","0.0839","0.007","0.450722"," "
"","","","","","","",""
"29015000","2001-05-01","2004-09-01","23","0.1171","0.0137","0.594749"," "
"","","","","","","",""
"11041200","2001-05-01","2003-10-01","18","0.5132","0.2634","0.029378","*"
"11041200","2007-09-01","2016-10-01","56","0.3503","0.1227","0.008122","**"
"","","","","","","",""
"11041300","1990-08-01","1999-07-01","54","0.5249","0.2756","4.6e-05","***"
"11041300","1999-09-01","2003-10-01","26","0.3425","0.1173","0.086754","."
"11041300","2004-06-01","2009-09-01","34","0.1021","0.0104","0.565413"," "
"11041300","2010-05-01","2013-08-01","22","0.2421","0.0586","0.277733"," "
"","","","","","","",""
"18030500","1990-05-01","2001-09-01","71","0.1515","0.0229","0.207321"," "
"18030500","2002-05-01","2005-09-01","23","0.0972","0.0094","0.659163"," "
"18030500","2008-05-01","2013-09-01","35","-0.0334","0.0011","0.848737"," "
"18030500","2014-05-01","2017-10-01","24","0.2007","0.0403","0.346956"," "
"","","","","","","",""
"29007100","1991-05-01","1995-09-01","29","0.2192","0.0481","0.253218"," "
"29007100","1996-10-01","2000-09-01","24","0.3264","0.1066","0.119526"," "
"","","","","","","",""
"1015900","1990-05-01","1993-09-01","23","0.5836","0.3406","0.003462","**"
"1015900","1998-05-01","2003-05-01","31","0.6655","0.4429","4.4e-05","***"
"1015900","2003-07-01","2017-10-01","88","0.1985","0.0394","0.063743","."
"","","","","","","",""
"48001200","1993-05-01","1997-10-01","30","0.2289","0.0524","0.22368"," "
"48001200","2013-05-01","2016-10-01","24","0.1607","0.0258","0.453185"," "
"","","","","","","",""
"58006700","1994-05-01","1997-09-01","23","-0.2906","0.0845","0.178505"," "
"58006700","2003-05-01","2008-09-01","35","0.0105","1e-04","0.952236"," "
"58006700","2009-07-01","2012-10-01","22","-0.0927","0.0086","0.68143"," "
"","","","","","","",""
"31072200","1993-06-01","1996-09-01","22","0.1487","0.0221","0.509114"," "
"","","","","","","",""
"38004700","2005-05-01","2009-09-01","29","0.4114","0.1693","0.026597","*"
"","","","","","","",""
"3038600","1994-10-01","2002-08-01","47","0.2446","0.0598","0.097545","."
"3038600","2003-05-01","2006-10-01","24","0.3431","0.1177","0.100727"," "
"","","","","","","",""
"21007300","1997-08-01","2006-09-01","56","0.0765","0.0059","0.574987"," "
"","","","","","","",""
"61003700","1996-05-01","2000-06-01","26","0.6833","0.4669","0.000119","***"
"","","","","","","",""
