"","ID","Start_Year","End_Year","Length","R_Linear","R_Quar","R_Exponen","Correlation","pvalue"
"593"," "," "," "," "," "," "," "," "," "
"594","31005800","1991","2016","26","0.0152","0.0511","0.0152","0.123","0.5483"
"595"," "," "," "," "," "," "," "," "," "
"596","31006900","1992","2016","25","0.2944","0.3547","0.2944","0.543","0.0051"
"597"," "," "," "," "," "," "," "," "," "
"598","31007800","1992","2016","25","0.05","0.1298","0.0501","0.224","0.2824"
"599"," "," "," "," "," "," "," "," "," "
"600","31014100","1993","2016","24","0.1526","0.1375","0.1526","0.391","0.0591"
"601"," "," "," "," "," "," "," "," "," "
"602","31019300","1993","2016","24","0.3104","0.4889","0.3102","0.557","0.0047"
"603"," "," "," "," "," "," "," "," "," "
"604","31020600","1998","2016","19","0.3638","0.337","0.3638","0.603","0.0063"
"605"," "," "," "," "," "," "," "," "," "
"606","31020900","1998","2016","19","0.0876","0.1583","0.0876","0.296","0.2186"
"607"," "," "," "," "," "," "," "," "," "
"608","31021400","1996","2016","21","0.1394","0.1408","0.1395","0.373","0.0954"
"609"," "," "," "," "," "," "," "," "," "
"610","31021600","1995","2016","22","0.0394","0.0719","0.0395","0.199","0.3756"
"611"," "," "," "," "," "," "," "," "," "
"612","31025500","1992","2016","25","0.1791","0.1754","0.1791","0.423","0.035"
"613"," "," "," "," "," "," "," "," "," "
"614","31026000","1990","2016","27","0.0033","0.3504","0.0033","0.058","0.7753"
"615"," "," "," "," "," "," "," "," "," "
"616","31029200","1990","2016","27","0.0104","0.0383","0.0104","-0.102","0.6125"
"617"," "," "," "," "," "," "," "," "," "
"618","31029900","1995","2016","22","0.0081","0.0353","0.0082","-0.09","0.6896"
"619"," "," "," "," "," "," "," "," "," "
"620","31033400","2001","2016","16","0.0734","0.1821","0.0734","-0.271","0.3101"
"621"," "," "," "," "," "," "," "," "," "
"622","31035300","1990","2016","27","0.0929","0.0964","0.0929","0.305","0.1221"
"623"," "," "," "," "," "," "," "," "," "
"624","31036100","1993","2011","19","0.03","0.0543","0.03","-0.173","0.4783"
"625"," "," "," "," "," "," "," "," "," "
"626","31036600","1995","2016","22","0.0054","0.044","0.0054","-0.073","0.746"
"627"," "," "," "," "," "," "," "," "," "
"628","31037300","1993","2016","24","0.2202","0.1941","0.2202","0.469","0.0207"
"629"," "," "," "," "," "," "," "," "," "
"630","31038400","1998","2016","19","0.5796","0.7073","0.5796","0.761","2e-04"
"631"," "," "," "," "," "," "," "," "," "
"632","31039900","1998","2016","19","0.0412","0.0541","0.0412","0.203","0.4044"
"633"," "," "," "," "," "," "," "," "," "
"634","31041300","1990","2016","27","0.0302","0.1539","0.0301","0.174","0.3864"
"635"," "," "," "," "," "," "," "," "," "
"636","31042200","1990","2016","27","0.0237","0.0877","0.0237","0.154","0.4433"
"637"," "," "," "," "," "," "," "," "," "
"638","31042400","1990","2016","27","0","0.3453","0","0.004","0.9826"
"639"," "," "," "," "," "," "," "," "," "
"640","31043800","1990","2016","27","0.0049","0.7378","0.0049","0.07","0.7276"
"641"," "," "," "," "," "," "," "," "," "
"642","31045400","2001","2016","16","0.0286","0.0389","0.0286","0.169","0.531"
"643"," "," "," "," "," "," "," "," "," "
"644","31053800","1990","2016","27","0.0127","0.3789","0.0127","0.113","0.5753"
"645"," "," "," "," "," "," "," "," "," "
"646","31055400","1990","2006","17","0.2644","0.3049","0.2644","0.514","0.0347"
"647"," "," "," "," "," "," "," "," "," "
"648","31057100","1990","2016","27","0.3481","0.4415","0.348","0.59","0.0012"
"649"," "," "," "," "," "," "," "," "," "
"650","31057600","1990","2016","27","0.1618","0.1568","0.1618","0.402","0.0375"
"651"," "," "," "," "," "," "," "," "," "
"652","31058500","1998","2016","19","0.0623","0.2235","0.0622","0.25","0.3029"
"653"," "," "," "," "," "," "," "," "," "
"654","31060200","1990","2016","27","0.0097","0.3138","0.0097","0.099","0.6248"
"655"," "," "," "," "," "," "," "," "," "
"656","31061300","1990","2016","27","0","0.4858","0","0.005","0.9793"
"657"," "," "," "," "," "," "," "," "," "
"658","31062400","1993","2016","24","0.0724","0.1283","0.0724","0.269","0.2037"
"659"," "," "," "," "," "," "," "," "," "
"660","31065000","1990","2016","27","0.0093","0.1568","0.0093","-0.096","0.6329"
"661"," "," "," "," "," "," "," "," "," "
"662","31071900","1990","2016","27","0.4069","0.4394","0.4069","0.638","3e-04"
"663"," "," "," "," "," "," "," "," "," "
"664","31072200","1990","2016","27","0.1314","0.3051","0.1315","0.363","0.0631"
"665"," "," "," "," "," "," "," "," "," "
"666","31072500","1990","2016","27","4e-04","0.0942","4e-04","0.021","0.9181"
"667"," "," "," "," "," "," "," "," "," "
"668","31074900","1998","2016","19","0.0444","0.7259","0.0443","0.211","0.3868"
"669"," "," "," "," "," "," "," "," "," "
"670","31075800","1994","2016","23","0.0339","0.1478","0.0339","0.184","0.4003"
"671"," "," "," "," "," "," "," "," "," "
